strain,name,accession,date,region,location,authors,sample_type,reads_or_assemblies
CW82,Nichols,SRR8501167,2016-XX-XX,Caribbean,cuba,Grillová_2019,clinical acquired,reads
CW83,Nichols,SRR8501166,2015-XX-XX,Caribbean,cuba,Grillová_2019,clinical acquired,reads
CW86,Nichols,SRR8501171,2013-XX-XX,Europe,france,Grillová_2019,clinical acquired,reads
Nichols_v2,Nichols,NC_021490.2,1912-XX-XX,N.America,usa,Pětrošová_2013,rabbit passage,assemblies
PHE120029A,Nichols,ERR3684484,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE120033A,Nichols,ERR4045383,2012-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE130048A,Nichols,ERR4045394,2013-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140076A,Nichols,ERR4045384,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140085A,Nichols,ERR3684452,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140089A,Nichols,ERR3684486,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140107A,Nichols,ERR3684527,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE140455A,Nichols,ERR4045382,2014-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150114A,Nichols,ERR3684487,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150115A,Nichols,ERR3684488,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150118A,Nichols,ERR4045385,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150121A,Nichols,ERR3684453,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150133A,Nichols,ERR3684490,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150139A,Nichols,ERR3684529,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150143A,Nichols,ERR4045395,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150145A,Nichols,ERR3684454,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150149A,Nichols,ERR3684491,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150150A,Nichols,ERR3684455,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150152A,Nichols,ERR3684664,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150162A,Nichols,ERR3684492,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150166A,Nichols,ERR3684493,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150168A,Nichols,ERR3684750,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150170A,Nichols,ERR3684494,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE150181A,Nichols,ERR3684532,2015-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160196A,Nichols,ERR3684457,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160206A,Nichols,ERR3684496,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160224A,Nichols,ERR3684458,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160233A,Nichols,ERR3684536,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160243A,Nichols,ERR3684459,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160255A,Nichols,ERR3684461,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160263A,Nichols,ERR3684462,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160270A,Nichols,ERR3684463,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160274A,Nichols,ERR3684464,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160276A,Nichols,ERR4045379,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160281A,Nichols,ERR3684505,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160282A,Nichols,ERR4045376,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160283A,Nichols,ERR3684465,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160287A,Nichols,ERR3684467,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160290A,Nichols,ERR4045380,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160294A,Nichols,ERR3684468,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160302A,Nichols,ERR4045377,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160306A,Nichols,ERR4045381,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160307A,Nichols,ERR4045388,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160316A,Nichols,ERR3684469,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE160317A,Nichols,ERR3684470,2016-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170322A,Nichols,ERR3684471,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170333A,Nichols,ERR3684472,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170334A,Nichols,ERR3684763,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170336A,Nichols,ERR3684549,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170336B,Nichols,ERR3684473,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170349A,Nichols,ERR3684474,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170372A,Nichols,ERR3684475,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170374A,Nichols,ERR3684476,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170381A,Nichols,ERR3684477,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170386A,Nichols,ERR3684478,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170397A,Nichols,ERR3684516,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170401A,Nichols,ERR4045391,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170405A,Nichols,ERR3684479,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170413A,Nichols,ERR3684481,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
PHE170664A,Nichols,ERR4045393,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_ALC148,Nichols,ERR5207001,2019-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_AUSBR-41,Nichols,ERR5207020,2019-XX-XX,Oceania,australia,Beale_2021,Clinical_Swab,reads
TPA_AUSMELT-1,Nichols,SRR13721290,1977-XX-XX,Oceania,australia,Beale_2021,rabbit_passage4,reads
TPA_BCC012,Nichols,ERR4993351,2002-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC013,Nichols,ERR4899199,2002-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC081,Nichols,ERR4853530,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC083,Nichols,ERR4899246,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC088,Nichols,ERR4993354,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC089,Nichols,ERR4853536,2013-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC101,Nichols,ERR4853531,2014-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC112,Nichols,ERR4853552,2014-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC122,Nichols,ERR4853566,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC124,Nichols,ERR4853538,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC126,Nichols,ERR4853539,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC136,Nichols,ERR4853540,2015-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC142,Nichols,ERR4853542,2016-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC148,Nichols,ERR4853595,2016-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC158,Nichols,ERR4853557,2016-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC168,Nichols,ERR4853558,2017-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_BCC169,Nichols,ERR4853546,2017-XX-XX,N.America,canada,Beale_2021,Clinical_Swab,reads
TPA_EIR015,Nichols,ERR4993349,2018-XX-XX,Europe,ireland,Beale_2021,Clinical_Swab,reads
TPA_ESBCN005,Nichols,ERR4899206,2015-XX-XX,Europe,spain,Beale_2021,Clinical_Swab,reads
TPA_HUN190013,Nichols,ERR5210565,2019-XX-XX,Europe,hungary,Beale_2021,Clinical_Swab,reads
TPA_HUN180004,Nichols,ERR5210563,2018-XX-XX,Europe,hungary,Beale_2021,Clinical_Swab,reads
TPA_HUN190019,Nichols,ERR5210567,2019-XX-XX,Europe,hungary,Beale_2021,Clinical_Swab,reads
TPA_HUN190020,Nichols,ERR5207017,2019-XX-XX,Europe,hungary,Beale_2021,Clinical_Swab,reads
TPA_OMI017,Nichols,ERR4853624,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_OMI021,Nichols,ERR4899217,2017-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_OMI061,Nichols,ERR4853626,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_SA006,Nichols,ERR4899215,2006-XX-XX,Africa,south africa,Beale_2021,Clinical_Swab,reads
TPA_UKBIR028,Nichols,ERR4899209,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBIR032,Nichols,ERR4853613,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBIR033,Nichols,ERR4853612,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBIR044,Nichols,ERR4899210,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBRG007,Nichols,ERR4853603,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_UKBRG008,Nichols,ERR4993362,2018-XX-XX,Europe,uk,Beale_2021,Clinical_Swab,reads
TPA_USL-BAL-6,Nichols,ERR4853568,1950-1980-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-BAL-7,Nichols,ERR4993357,1976-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-BAL-8,Nichols,ERR4899245,1960-1980-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-Haiti-B,Nichols,ERR4853572,1951-XX-XX,Caribbean,haiti,Beale_2021,rabbit inoculation,reads
TPA_USL-Phil-2,Nichols,ERR4993361,1987-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-Phil-3,Nichols,ERR4853573,1987-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-SEA-83-1,Nichols,ERR4853569,1983-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-SEA-83-2,Nichols,ERR4853570,1983-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_USL-SEA-86-1,Nichols,ERR4853571,1986-XX-XX,N.America,usa,Beale_2021,rabbit inoculation,reads
TPA_ZIM008,Nichols,ERR4899213,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM010,Nichols,ERR4899238,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM014,Nichols,ERR4853621,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM015,Nichols,ERR4899214,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM016,Nichols,ERR4853622,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM018,Nichols,ERR4853623,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
TPA_ZIM020,Nichols,ERR4899239,2015-XX-XX,Africa,zimbabwe,Beale_2021,Clinical_Swab,reads
UW202B,Nichols,ERR3061032,2003-XX-XX,N.America,usa,Beale_2021,low_rabbit_passage,reads
Seattle_Nichols,Nichols,NZ_CP010422.1,1912-XX-XX,N.America,usa,unpublished-Giacani,rabbit inoculation,assemblies
14B001UK,Nichols,DRR213710,2014,Asia,japan,Nishiki 2021,Clinical,reads
17A003MM,Nichols,DRR213714,2017,Asia,japan,Nishiki 2021,Clinical,reads
17A021MM,Nichols,DRR213718,2017,Asia,japan,Nishiki 2021,Clinical,reads
TPAUS_007,Nichols,SRR15440097,2019-03-29 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_022,Nichols,SRR15440142,2018-05-03 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_029,Nichols,SRR15440109,2019-01-22 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_035,Nichols,SRR15440085,2018-01-31 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_037,Nichols,SRR15440063,2018-02-28 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_038,Nichols,SRR15440052,2018-09-01 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_053,Nichols,SRR15440408,2018-01-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_077,Nichols,SRR15440319,2016-02-03 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_079,Nichols,SRR15440297,2016-06-22 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_080,Nichols,SRR15440286,2017-06-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_082,Nichols,SRR15440264,2017-03-24 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_083,Nichols,SRR15440253,2017-07-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_089,Nichols,SRR15440186,2016-01-22 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_092,Nichols,SRR15440157,2016-04-04 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_100,Nichols,SRR15440149,2016-05-20 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_109,Nichols,SRR15440143,2015-09-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_117,Nichols,SRR15440138,2016-07-03 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_123,Nichols,SRR15440132,2016-01-06 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_125,Nichols,SRR15440129,2017-05-31 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_127,Nichols,SRR15440127,2016-05-19 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_135,Nichols,SRR15440121,2017-10-23 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_139,Nichols,SRR15440116,2016-11-02 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_140,Nichols,SRR15440115,2016-11-02 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_142,Nichols,SRR15440113,2017-03-16 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_144,Nichols,SRR15440111,2016-05-02 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_145,Nichols,SRR15440110,2017-05-12 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_150,Nichols,SRR15440104,2017-03-27 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_152,Nichols,SRR15440102,2018-12-09 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_154,Nichols,SRR15440100,2018-09-13 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_160,Nichols,SRR15440092,2018-10-23 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_164,Nichols,SRR15440088,2018-02-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_171,Nichols,SRR15440081,2018-11-26 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_172,Nichols,SRR15440080,2018-12-29 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_178,Nichols,SRR15440073,2018-12-17 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_184,Nichols,SRR15440067,2019-07-01 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_185,Nichols,SRR15440066,2019-08-01 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_205,Nichols,SRR15440049,2019-02-20 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_228,Nichols,SRR15440035,2017-01-06 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_232,Nichols,SRR15440031,2018-02-16 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_248,Nichols,SRR15440476,2018-06-06 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_261,Nichols,SRR15440463,2018-06-08 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_264,Nichols,SRR15440460,2018-08-28 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_267,Nichols,SRR15440457,2018-05-03 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_271,Nichols,SRR15440452,2018-01-29 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_272,Nichols,SRR15440451,2018-02-15 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_290,Nichols,SRR15440438,2016-03-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_300,Nichols,SRR15440429,2016-12-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_307,Nichols,SRR15440424,2017-04-21 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_311,Nichols,SRR15440421,2017-10-19 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_312,Nichols,SRR15440420,2017-10-19 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_325,Nichols,SRR15440413,2017-09-22 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_326,Nichols,SRR15440412,2017-07-02 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_330,Nichols,SRR15440411,2018-02-08 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_331,Nichols,SRR15440410,2018-03-26 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_340,Nichols,SRR15440407,2018-07-05 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_350,Nichols,SRR15440405,2019-01-15 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_371,Nichols,SRR15440400,2019-10-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_377,Nichols,SRR15440396,2019-10-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_378,Nichols,SRR15440395,2019-10-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_382,Nichols,SRR15440394,2019-03-10 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_393,Nichols,SRR15440389,2019-11-18 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_402,Nichols,SRR15440383,2020-01-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_410,Nichols,SRR15440379,2020-01-22 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_418,Nichols,SRR15440377,2020-03-17 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_431,Nichols,SRR15440369,2020-05-29 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_432,Nichols,SRR15440368,2020-01-05 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_436,Nichols,SRR15440365,2019-12-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_447,Nichols,SRR15440359,2019-06-24 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_449,Nichols,SRR15440358,2019-10-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_453,Nichols,SRR15440356,2019-10-15 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_465,Nichols,SRR15440354,2019-04-07 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_469,Nichols,SRR15440352,2020-03-02 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_477,Nichols,SRR15440351,2020-02-03 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_480,Nichols,SRR15440350,2020-01-17 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_497,Nichols,SRR15440344,2020-03-19 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_501,Nichols,SRR15440341,2019-12-31 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_507,Nichols,SRR15440338,2019-06-28 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_508,Nichols,SRR15440337,2020-01-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_514,Nichols,SRR15440335,2020-03-04 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_521,Nichols,SRR15440334,2020-01-06 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_522,Nichols,SRR15440333,2020-08-17 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_523,Nichols,SRR15440332,2020-08-20 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_527,Nichols,SRR15440326,2020-03-09 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_530,Nichols,SRR15440323,2020-10-09 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_536,Nichols,SRR15440316,2020-06-24 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_537,Nichols,SRR15440315,2020-01-07 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_539,Nichols,SRR15440313,2020-07-13 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_540,Nichols,SRR15440312,2020-07-17 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_543,Nichols,SRR15440310,2020-03-06 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_546,Nichols,SRR15440309,2020-08-17 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_547,Nichols,SRR15440307,2020-12-08 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_548,Nichols,SRR15440306,2020-07-08 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_549,Nichols,SRR15440305,2020-07-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_550,Nichols,SRR15440304,2020-08-24 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_563,Nichols,SRR15440298,2020-03-07 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_564,Nichols,SRR15440296,2020-01-06 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_569,Nichols,SRR15440294,2020-08-14 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_572,Nichols,SRR15440293,2020-10-07 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_578,Nichols,SRR15440292,2020-08-13 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_598,Nichols,SRR15440291,2020-09-28 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_601,Nichols,SRR15440288,2020-02-10 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_605,Nichols,SRR15440283,2020-04-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_606,Nichols,SRR15440282,2020-04-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_607,Nichols,SRR15440281,2020-09-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_609,Nichols,SRR15440280,2020-11-11 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_616,Nichols,SRR15440273,2020-11-12 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_620,Nichols,SRR15440270,2020-12-30 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
TPAUS_634,Nichols,SRR15440267,2020-10-26 00:00:00,Oceania,australia,Taouk_2022,Clinical,reads
